player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Stephon Gilmore,7016,CB,MIN,16,0,18,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.2,1,578,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Nick Bellore,6515,LB,WAS,4,0,32,0,0,0,0,0,0,,0,0,,0,0,0,0,20,1,5,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0
Theo Jackson,62919,S,MIN,8,0,18,0,0,0,0,0,0,28.6,2,0,0,0,0,0,0,11.5,7,61,0,0,0,0,0,0,71.4,5,0,0,0,0,0,0,0,0
Daniel Thomas,42544,S,JAX,4,0,15,0,0,0,0,0,0,100,1,0,0,0,0,0,0,3.8,1,26,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Lawrence Guy Sr.,6385,DI,CIN,4,0,7,0,0,0,0,0,0,73.2,30,0,0,0,0,0,0,100,41,41,0,0,0,0,0,0,26.8,11,0,0,0,0,0,0,0,0
Tre'Davious White,11782,CB,BLT,13,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.4,1,250,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Curtis Jacobs,129785,LB,NE,3,0,19,0,0,0,0,0,0,100,5,0,0,0,0,0,0,45.5,5,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Alex Barrett,12183,ED,SF,3,0,28,0,0,0,0,0,0,35.7,5,0,0,0,0,0,0,100,14,14,0,0,0,0,0,0,64.3,9,0,0,0,0,0,0,0,0
Josh Hayes,66798,CB,TB,6,0,30,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.6,1,176,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0
Noah Sewell,131722,LB,CHI,2,0,6,0,0,0,0,0,0,100,2,0,0,0,0,0,0,100,2,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Mitchell Agude,131787,ED,DET,3,0,11,0,0,0,0,0,0,41.7,10,0,0,0,0,1,0,96,24,25,0,0,0,0,0,0,58.3,14,0,0,0,0,0,0,0,1
Clark Phillips III,131871,CB,ATL,16,0,2,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0.8,2,246,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Jaylen Watson,131960,CB,KC,9,0,16,0,0,0,0,0,0,50,2,0,0,0,0,0,0,1.4,4,289,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0
Myles Harden,141857,CB,CLV,4,0,8,0,0,0,0,0,0,100,1,0,0,0,0,0,0,2.9,1,34,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Kamren Kinchens,143946,S,LA,18,0,26,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0.3,1,400,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Matt Dickerson,49601,DI,MIA,3,0,17,0,0,0,0,0,0,25,2,0,0,0,0,0,0,100,8,8,0,0,0,0,0,0,75,6,0,0,0,0,0,0,0,0
James Williams,143955,LB,TEN,4,0,31,0,0,0,0,0,0,0,0,0,,0,0,0,0,9.1,4,44,0,0,0,0,0,0,100,4,0,0,0,0,0,0,0,0
Antonio Hamilton Sr.,11353,CB,ATL,2,0,2,0,0,0,0,0,0,66.7,2,0,0,0,0,0,0,12,3,25,0,0,0,0,0,0,33.3,1,0,0,0,0,0,0,0,0
Vi Jones,58233,LB,ARZ,4,0,1,0,0,0,0,0,0,50,1,0,0,0,0,0,0,6.1,2,33,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
Nick McCloud,49535,CB,SF,9,0,28,0,0,0,0,0,0,100,3,0,0,0,0,0,0,2.5,3,119,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Eli Ankou,48856,DI,BUF,2,0,4,0,0,0,0,0,0,54.5,6,0,0,0,0,0,0,100,11,11,0,0,0,0,0,0,45.5,5,0,0,0,0,0,0,0,0
Jamal Adams,11761,S,DET,4,0,11,0,0,0,0,0,0,50,2,0,0,0,0,0,0,26.7,4,15,0,0,0,0,0,0,50,2,0,0,0,0,0,0,0,0
